# TPV6/7 station x2_-12_x3_7.5 farside (along_strike=-12000, down_dip=7500)
# nearside = STRONG (larger Zp) side; farside = WEAK side.
# Columns: t h-disp h-vel h-stress v-disp v-vel v-stress n-disp n-vel n-stress
# h=strike, v=dip, n=normal; vel m/s, disp m, stress MPa, n-stress COMPRESSION-POSITIVE (drdg3d ref is negative — the viz flips it).  Velocity = imposed split-node Godunov velocity; disp = trapezoidal time-integral.
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
7.4617905920e-04 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
1.4923581184e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
2.2385371776e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
2.9847162368e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
3.7308952960e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
4.4770743552e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
5.2232534144e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
5.9694324736e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
6.7156115328e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
7.4617905920e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
8.2079696512e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
8.9541487104e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
9.7003277696e-03 -2.6886284541e-154 -7.2063894610e-151 7.0000000000e+01 3.2103036370e-154 8.6046468269e-151 4.1216978118e-150 -4.5700261878e-154 -1.2249140824e-150 1.2000000000e+02
1.0446506829e-02 2.2447886507e-148 6.0167703725e-145 7.0000000000e+01 -1.7010001648e-148 -4.5592450349e-145 -3.5581664258e-144 2.9989029066e-148 8.0380493387e-145 1.2000000000e+02
1.1192685888e-02 2.0415257411e-144 5.4707425991e-141 7.0000000000e+01 -1.5692207689e-144 -4.2051047907e-141 -3.2488643418e-140 2.7372009219e-144 7.3349716979e-141 1.2000000000e+02
1.1938864947e-02 2.6612012749e-141 7.1219331060e-138 7.0000000000e+01 -2.0330188544e-141 -5.4407336364e-138 -4.1979183989e-137 3.5676873331e-141 9.5478785880e-138 1.2000000000e+02
1.2685044006e-02 1.2226698582e-138 3.2628938678e-135 7.0000000000e+01 -9.2596363179e-139 -2.4709906311e-135 -1.9057801725e-134 1.6384187393e-138 4.3723790378e-135 1.2000000000e+02
1.3431223066e-02 2.8055340100e-136 7.4543335458e-133 7.0000000000e+01 -2.1051298254e-136 -5.5928966541e-133 -4.3128673885e-132 3.7575756338e-136 9.9838732060e-133 1.2000000000e+02
1.4177402125e-02 3.8631255398e-134 1.0204678930e-130 7.0000000000e+01 -2.8716324599e-134 -7.5845458673e-131 -5.8482254021e-130 5.1712961287e-134 1.3660183904e-130 1.2000000000e+02
